year,original_file,preprocessed_file,original_length,preprocessed_length,reduction_percent
2020,2020 Austrian Grand Prix - Decision - Car 44 - alleged failure to slow for yellow flags.txt,no_articles_2020 Austrian Grand Prix - Decision - Car 44 - alleged failure to slow for yellow flags.txt,1438,1350,6.11961057023644
2020,2020 Austrian Grand Prix - Decision - review of decision (document 33).txt,no_articles_2020 Austrian Grand Prix - Decision - review of decision (document 33).txt,1124,1026,8.718861209964412
2020,2020 Austrian Grand Prix - Offence - Car 44 - Failure to slow for yellow flags (post review).txt,no_articles_2020 Austrian Grand Prix - Offence - Car 44 - Failure to slow for yellow flags (post review).txt,1632,1526,6.495098039215687
2020,2020 Austrian Grand Prix - Offence - Car 44 - incident with car 23.txt,no_articles_2020 Austrian Grand Prix - Offence - Car 44 - incident with car 23.txt,1418,1319,6.981664315937941
2020,2020 Austrian Grand Prix - Offence - Car 44 - Leaving the track in turn 10.txt,no_articles_2020 Austrian Grand Prix - Offence - Car 44 - Leaving the track in turn 10.txt,1623,1501,7.51694393099199
2020,2020 Austrian Grand Prix - Offence - Car 44 - Track Limits turn 10.txt,no_articles_2020 Austrian Grand Prix - Offence - Car 44 - Track Limits turn 10.txt,1361,1260,7.421013960323291
2020,2020 Italian Grand Prix - Offence - Car 44 - Entering closed pit lane.txt,no_articles_2020 Italian Grand Prix - Offence - Car 44 - Entering closed pit lane.txt,1304,1212,7.05521472392638
2020,2020 Russian Grand Prix - Decision - Car 44 - Turn 2 .txt,no_articles_2020 Russian Grand Prix - Decision - Car 44 - Turn 2 .txt,1928,1779,7.728215767634855
2020,2020 Russian Grand Prix - Replacement for Document 46 - Offence - Car 44 - 1st Practice Start.txt,no_articles_2020 Russian Grand Prix - Replacement for Document 46 - Offence - Car 44 - 1st Practice Start.txt,1570,1464,6.751592356687898
2020,2020 Russian Grand Prix - Replacement for Document 47 - Offence - Car 44 - 2nd Practice Start.txt,no_articles_2020 Russian Grand Prix - Replacement for Document 47 - Offence - Car 44 - 2nd Practice Start.txt,1440,1342,6.805555555555555
2020,2020 Sakhir Grand Prix - Offence - Mercedes - Car 63 incorrect use of tyres.txt,no_articles_2020 Sakhir Grand Prix - Offence - Mercedes - Car 63 incorrect use of tyres.txt,2992,2802,6.350267379679145
2021,2021 Austrian Grand Prix - Decision - Car 77 - Alleged driving unnecessarily slowly .txt,no_articles_2021 Austrian Grand Prix - Decision - Car 77 - Alleged driving unnecessarily slowly .txt,1463,1363,6.83526999316473
2021,2021 Brazilian Grand Prix - Offence - Car 44 - DRS.txt,no_articles_2021 Brazilian Grand Prix - Offence - Car 44 - DRS.txt,8030,7294,9.165628891656288
2021,2021 Brazilian Grand Prix - Offence - Car 44 - PU element.txt,no_articles_2021 Brazilian Grand Prix - Offence - Car 44 - PU element.txt,1046,981,6.21414913957935
2021,2021 Brazilian Grand Prix - Offence - Car 44 - Safety Belts.txt,no_articles_2021 Brazilian Grand Prix - Offence - Car 44 - Safety Belts.txt,1667,1527,8.398320335932812
2021,2021 British Grand Prix - Offence - Car 44 - Causing a collision with car 33.txt,no_articles_2021 British Grand Prix - Offence - Car 44 - Causing a collision with car 33.txt,1370,1278,6.715328467153285
2021,2021 Hungarian Grand Prix - Offence - Car 77 - causing a collision.txt,no_articles_2021 Hungarian Grand Prix - Offence - Car 77 - causing a collision.txt,1230,1139,7.398373983739838
2021,2021 Hungarian Grand Prix - Offence - Car 77 - Pre-Race procedure.txt,no_articles_2021 Hungarian Grand Prix - Offence - Car 77 - Pre-Race procedure.txt,1231,1141,7.311129163281885
2021,2021 Italian Grand Prix - Offence - Car 77 - PU element.txt,no_articles_2021 Italian Grand Prix - Offence - Car 77 - PU element.txt,1136,1055,7.130281690140845
2021,2021 Italian Grand Prix - Offence - Car 77 - PU elements.txt,no_articles_2021 Italian Grand Prix - Offence - Car 77 - PU elements.txt,1141,1068,6.397896581945661
2021,2021 Mexican Grand Prix - Offence - Car 44 - Turn 2 .txt,no_articles_2021 Mexican Grand Prix - Offence - Car 44 - Turn 2 .txt,1569,1449,7.648183556405354
2021,2021 Qatar Grand Prix - Offence - Car 77 - Single waved yellow flag.txt,no_articles_2021 Qatar Grand Prix - Offence - Car 77 - Single waved yellow flag.txt,1471,1381,6.118286879673692
2021,2021 Russian Grand Prix - Offence - Car 77 - PU elements.txt,no_articles_2021 Russian Grand Prix - Offence - Car 77 - PU elements.txt,1072,1011,5.690298507462686
2021,2021 Saudi Arabian Grand Prix - Decision - Car 44 - double yellow.txt,no_articles_2021 Saudi Arabian Grand Prix - Decision - Car 44 - double yellow.txt,1837,1714,6.695699510070767
2021,2021 Saudi Arabian Grand Prix - Offence - Car 44 - Impeding.txt,no_articles_2021 Saudi Arabian Grand Prix - Offence - Car 44 - Impeding.txt,2025,1891,6.617283950617284
2021,2021 Turkish Grand Prix - Offence - Car 44 - PU element.txt,no_articles_2021 Turkish Grand Prix - Offence - Car 44 - PU element.txt,991,930,6.15539858728557
2021,2021 United States Grand Prix - Offence - Car 77 - PU elements.txt,no_articles_2021 United States Grand Prix - Offence - Car 77 - PU elements.txt,998,937,6.112224448897796
